Date,Mine Days Work_days,Mine Tons per Day_tpd,Feed Tonnage_tons,Feed Grade_Au gpt,MCF_%,Mill Days Work_days,Mill Tons per Day_tpd,Milled Tonnage_tons,Milled Grade_Au gpt,Gold Recovered_Au oz,Gold Recovery_%,Gold Tails_Solid_Au gpt,Gold Tails_Solution_Au gpt,Gold Tails_Total_Au gpt
2016-01-01,1,,1100,5.456,0.82095994,1,,1002.266676,4.479157433,107.2320046,0.74294056,0.927369514,0.150569726,1.151409703
2016-01-02,1,,1535,3.77267101,1.049361354,1,,951.6170417,3.958895158,86.02705305,0.710244855,0.940346579,0.139515168,1.147110241
2016-01-03,1,,1385,3.45732852,0.984008667,1,,1203.828367,3.402041228,90.98018638,0.69095846,0.892141701,0.107629115,1.05137206
2016-01-04,1,,1130,4.986548673,0.719688107,1,,1139.722117,3.588759777,90.32469912,0.686866635,0.859674776,0.183517146,1.123760426
2016-01-05,1,,1210,4.904917355,0.733874177,1,,919.4038484,3.599592186,77.25946369,0.726108187,0.780336291,0.140489605,0.985898831
2016-01-06,1,,905,4.729834254,0.773432135,1,,1105.192383,3.658205807,103.4027828,0.795491366,0.630940311,0.08252584,0.748134671
2016-01-07,1,,1340,5.002910448,0.794226456,1,,1051.147789,3.973443837,108.8821076,0.810839544,0.6632889,0.060484907,0.751618448
2016-01-08,1,,645,6.601860465,0.647325604,1,,776.9595095,4.273553315,87.31147013,0.817886519,0.677971052,0.06767819,0.778271672
2016-01-09,1,,1165,6.319699571,0.603709035,1,,1105.371135,3.815259729,109.107703,0.80469712,0.624592781,0.07785713,0.745131214
2016-01-10,1,,965,4.269326425,0.765849275,1,,1106.01117,3.269660546,92.29259175,0.793805172,0.610111051,0.042025281,0.674187095
2016-01-11,1,,1415,4.433144876,0.834774067,1,,1099.268214,3.70067438,100.5264176,0.768608042,0.663642162,0.128090376,0.856306291
2016-01-12,1,,1370.5,2.83636629,0.997348212,1,,1074.969975,2.828844847,69.47901109,0.710652728,0.649355247,0.117554152,0.818518538
2016-01-13,1,,1166.5,4.428135448,0.589915876,1,,1051.904748,2.612227401,66.58386292,0.753686703,0.555485478,0.062823296,0.643426344
2016-01-14,1,,935,6.859679144,0.539007617,1,,962.1656019,3.697419307,97.18268457,0.849668705,0.500730728,0.040106144,0.555837834
2016-01-15,1,,1334,6.496491754,0.593436499,1,,1128,3.855255319,118.6482766,0.848610599,0.517588652,0.047193344,0.583644795
2016-01-16,1,,927.5,6.015180593,0.628180688,1,,1082.353117,3.778620286,103.9749639,0.790743837,0.65747168,0.0925821,0.790699581
2016-01-17,1,,1126.5,3.494349756,0.742387662,1,,987.8015049,2.594162147,61.19705986,0.74280192,0.566770131,0.068040089,0.667213522
2016-01-18,1,,654,5.906185015,0.379101492,1,,833.2462359,2.239043551,41.21496382,0.687113187,0.600947684,0.070670521,0.700567202
2016-01-19,1,,979,7.395301328,0.464323638,1,,901.5242794,3.433813219,79.01550876,0.793903117,0.590424021,0.080050913,0.707698201
2016-01-20,1,,1165,7.415965665,0.599342192,1,,1037.004428,4.444701121,125.0366155,0.843768481,0.577083644,0.080356886,0.694402408
2016-01-21,1,,1165,6.4627897,0.750917218,1,,1053.846953,4.853020062,143.510987,0.872779993,0.533851662,0.054923534,0.617401244
2016-01-22,1,,810,6.998765432,0.705694481,1,,902.4274585,4.938990136,123.652706,0.86290389,0.607260539,0.043934088,0.677116335
2016-01-23,1,,1099,4.76177434,1.323710127,1,,906.9801465,6.303208915,159.9107472,0.870016386,0.735243896,0.054468804,0.819313875
2016-01-24,1,,1119,7.389937444,0.690524271,1,,916.2445248,5.102931168,128.0532208,0.851860862,0.664744905,0.057892369,0.755943823
2016-01-25,1,,760,6.996118421,0.752644637,1,,1077.90311,5.265591012,151.8918401,0.832370839,0.782894844,0.056495975,0.882666603
2016-01-26,1,,1860,7.784489247,0.543637252,1,,1131.521774,4.231938344,121.9044656,0.791820296,0.823844432,0.038426995,0.881003671
2016-01-27,1,,1020,7.892352941,0.580660944,1,,1000.900107,4.582781111,120.3198846,0.815880998,0.792646527,0.03531639,0.843777085
2016-01-28,1,,1520,6.917664474,0.795903162,1,,1057.783413,5.505791029,157.7333981,0.842396289,0.801130296,0.046283304,0.867733099
2016-01-29,1,,1215,7.83872428,0.885137374,1,,1061.87224,6.938347825,204.9287363,0.865134814,0.826825527,0.075687418,0.935741568
2016-01-30,1,,1350,6.990777778,0.881516575,1,,1114.658177,6.162486486,190.1285797,0.860912433,0.789486647,0.046143577,0.857125253
2016-01-31,1,,1400,6.737571429,0.864787843,1,,1149.980047,5.826569862,179.8229747,0.834739907,0.848948518,0.080107872,0.962899479
2016-02-01,1,,1885,5.881538462,0.951185362,1,,1195.755952,5.594433292,174.9533132,0.813453594,0.933139799,0.077982185,1.043621426
2016-02-02,1,,1385,6.332851986,0.880203211,1,,1014.769031,5.57419665,144.9314203,0.796933933,0.930136484,0.146126478,1.131930191
2016-02-03,1,,695,6.458920863,0.773607537,1,,535.1339137,4.996669862,66.48445883,0.773368126,0.963998529,0.109503496,1.132404652
2016-02-04,1,,1210,10.28471074,0.465011212,1,,1025.216445,4.782505804,127.6637587,0.809852299,0.819486031,0.05993097,0.909382486
2016-02-05,1,,1165,6.438454936,0.957993518,1,,1033.487306,6.167998095,175.2360955,0.855034133,0.778042647,0.074232053,0.894149191
2016-02-06,1,,815,6.507239264,0.763761667,1,,780.0854792,4.969979906,99.23119658,0.796087241,0.859601025,0.098357546,1.013442315
2016-02-07,1,,1005,6.872835821,0.699836735,1,,1008.505625,4.809862982,125.3247019,0.80359072,0.806319506,0.088473879,0.944701726
2016-02-08,1,,1430,7.218146853,0.870033081,1,,1105.288864,6.280026548,185.5753198,0.831557348,0.883451099,0.117983379,1.057824327
2016-02-09,1,,1225,6.651673469,0.856965386,1,,977.7674376,5.70025392,152.4437224,0.850724686,0.73615317,0.078551648,0.850907196
2016-02-10,1,,1160,7.042693966,0.761383381,1,,900.625673,5.362190144,130.4200256,0.839976257,0.765129154,0.064591388,0.858077737
2016-02-11,1,,595,6.86512605,0.75353983,1,,403.0636609,5.173145916,55.53937104,0.82847965,0.804452046,0.05584092,0.887299796
2016-02-12,1,,730,6.958013699,0.750649503,1,,664.6732215,5.223029525,91.97014007,0.823996651,0.83382968,0.054626217,0.919270687
2016-02-13,1,,680,7.106764706,0.758207414,1,,489.1606248,5.388401689,67.47024479,0.796177853,1.028673521,0.048068026,1.098275599
2016-02-14,0,,,,0,0,,,,,,,,
2016-02-15,0,,,,0,0,,,,,,,,
2016-02-16,0,,,,0,0,,,,,,,,
2016-02-17,0,,,,0,0,,,,,,,,
2016-02-18,1,,700,6.945071429,0.904286395,1,,803.2961693,6.280333608,137.3902379,0.847045477,0.836389892,0.086794483,0.960605433
2016-02-19,1,,905,7.215745856,0.796527669,1,,954.1514557,5.747541227,149.950174,0.850465741,0.754993584,0.073849954,0.859454319
2016-02-20,1,,1440,7.932708333,0.75793219,1,,1194.378791,6.012455002,193.526318,0.838214895,0.85838037,0.078283914,0.972725665
2016-02-21,1,,1485,7.875050505,0.777092843,1,,1315.081512,6.119645387,215.1703366,0.831596651,0.917827868,0.081383367,1.030568777
2016-02-22,1,,1360,7.919044118,0.708377117,1,,1148.561229,5.609669638,171.2173059,0.826543059,0.900762969,0.051823258,0.973036135
2016-02-23,1,,1205,8.04,0.733176964,1,,1201.640256,5.894742789,179.0411881,0.786181616,1.186116461,0.059116266,1.260404379
2016-02-24,1,,1475,8.43,0.706124344,1,,1246.054228,5.952628218,176.3946345,0.739688609,1.286411847,0.194569849,1.549536931
2016-02-25,1,,996,7.89,0.725863336,1,,780.3345815,5.727061723,107.0732953,0.745208351,1.315612887,0.11041514,1.459207499
2016-02-26,1,,883,8.54,0.59727608,1,,765.4550012,5.100737725,82.73303281,0.659076078,1.406016645,0.245852395,1.73896351
2016-02-27,1,,1917,8.71,0.68631579,1,,803.3568016,5.977810529,110.8199544,0.717755631,1.364417777,0.231094395,1.687203363
2016-02-28,1,,2065,8.81,0.818473303,1,,1103.05067,7.210749803,212.3919488,0.830560785,1.0446432,0.125034352,1.221783786
2016-02-29,1,,1595,7.54,0.858559825,1,,1319.211441,6.473541077,222.6689836,0.81098472,1.058269115,0.119721048,1.223598181
2016-03-01,1,,1291,6.53,0.921678791,1,,1204.985269,6.018562505,191.7186218,0.822240846,0.950840365,0.083725943,1.069854579
2016-03-02,1,,1485,7.87,0.818863904,1,,1231.227013,6.444458925,211.256254,0.828121845,0.995661313,0.072637836,1.107661707
2016-03-03,1,,815,8.61,0.892959586,1,,1078.898653,7.688382033,224.5796059,0.842100589,0.974881593,0.159306298,1.213990995
2016-03-04,1,,560,7.61,0.964443726,1,,632.1554241,7.339416754,125.9095431,0.844077828,1.006425604,0.091968134,1.144377804
2016-03-05,1,,695,8,0.873803477,1,,694.1197686,6.990427815,130.9069869,0.839139027,1.008133979,0.077568694,1.124487021
