Date,Tonnage Processed_tons,Head Grade_Au gpt,Au Tails_Solid_Au gpt,Au Tails_Soln_Au gpt,Au Tails_Total_Au gpt,Au Recovery_%,Au_produced_Gold Recovered_Au oz,Au_produced_Bullion Produced_Au oz,Head Grade_Ag gpt,Ag Tails_Ag gpt,Ag Recovery_%,Ag_produced_Silver Recovered_Ag oz,Ag_produced_Bullion Produced_Ag oz
2017-01-01,1447.131601,2.872277594,0.730127196,0.053319595,0.805799044,0.719456418,96.14565602,0,17.23219327,5.367516874,0.688518067,552.0198099,0
2017-01-02,1344.124696,2.785875307,0.748132616,0.030323998,0.791181336,0.716002603,86.1998626,0,17.31870073,7.498074413,0.567053295,424.3942436,0
2017-01-03,1002.59288,3.347784911,0.626316484,0.046771883,0.694646379,0.792505673,85.52149441,0,18.29557624,3.46291635,0.810723844,478.1172276,0
2017-01-04,1387.079263,5.145051323,0.564481228,0.073783003,0.66917463,0.869938201,199.6044093,0,27.95298394,9.767546792,0.650572303,810.9904913,0
2017-01-05,1512.985124,3.739583946,0.614177591,0.04279429,0.678473701,0.818569737,148.9033152,0,24.41444197,6.407232304,0.737563844,875.9348741,0
2017-01-06,1515.281394,4.721973044,0.651653462,0.092152438,0.788001572,0.833120273,191.6528293,0,28.37872015,5.098717941,0.820333055,1134.140987,0
2017-01-07,1402.721269,4.191034252,0.620990981,0.092332231,0.751890164,0.820595557,155.1002479,0,33.5142609,7.966233032,0.762303186,1152.177796,0
2017-01-08,1451.907631,3.275381546,0.553070795,0.056710092,0.633607925,0.806554468,123.3176742,0,25.57600584,9.751368912,0.618729798,738.6921446,0
2017-01-09,1324.721672,3.253359012,0.724453762,0.051936012,0.799190949,0.754348983,104.5248805,0,24.7465067,8.179246161,0.669478757,705.6122007,0
2017-01-10,1434.760012,3.340332637,0.581281713,0.039581668,0.637645274,0.809107253,124.6711062,160.1588269,21.7949302,5.03105228,0.769164102,773.2937346,887.252442
2017-01-11,1210.327201,3.518312587,0.689264757,0.034715093,0.738706142,0.79003965,108.1625312,153.2332265,24.17199555,11.14539473,0.538912925,506.9027379,970.411688
2017-01-12,1549,3.972945126,0.668601679,0.038888468,0.723845831,0.817806235,161.8099187,166.1722012,23.15886152,8.588540327,0.629146695,725.6234036,1020.318708
2017-01-13,1542,3.420581712,0.498415694,0.047696044,0.567051465,0.834223675,141.4677976,114.136288,26.08492153,7.301399117,0.720091199,931.2196878,642.0018688
2017-01-14,1517.049993,3.454322605,0.692715319,0.034968691,0.741631048,0.785303478,132.3095055,101.7095862,22.85513731,5.488093185,0.759874854,847.0646123,550.1332987
2017-01-15,1614.634187,3.255612021,0.533756318,0.045573158,0.597573905,0.816448059,137.9831599,135.1608703,21.48004634,7.680377247,0.642441309,716.3636727,922.5043618
2017-01-16,1206.720753,3.430125176,0.727126643,0.035321357,0.777954938,0.773199257,102.8961007,106.3109481,20.209442,8.300256706,0.58928818,462.0399969,618.2443675
2017-01-17,1356.672104,5.63246796,0.709567392,0.056956621,0.791529358,0.859470242,211.152004,227.6067836,35.06901556,7.012709713,0.800031179,1223.759624,1155.332479
2017-01-18,1083.080129,3.776853097,0.595612104,0.072124571,0.698027252,0.815182843,107.2102848,202.6985906,21.75127815,5.281398181,0.757191364,573.5110109,1144.32656
2017-01-19,947.7980575,3.627140229,0.637100913,0.065614496,0.731521773,0.798319964,88.23642188,94.05314848,22.29859898,11.62476836,0.478677187,325.2571553,533.219593
2017-01-20,1417.085643,4.717174611,0.736844445,0.067557958,0.832600348,0.823495966,176.9824752,173.501275,24.31868008,6.820000057,0.719557146,797.2455906,1030.67285
2017-01-21,1449.946543,4.73773036,0.727772951,0.023057238,0.76095288,0.839384511,185.3847561,101.7312075,31.19502019,5.923508772,0.810113642,1178.077728,600.5165557
2017-01-22,1580.015466,4.401000154,0.759583961,0.042089466,0.819366299,0.813822706,181.942125,171.9731856,20.21456906,4.63324589,0.770796702,791.5100101,1057.086423
2017-01-23,1686.017948,4.427192649,0.734779174,0.063004628,0.82544437,0.813551287,195.2388715,163.8607802,31.52267821,8.298227581,0.736753726,1258.920719,1027.448991
2017-01-24,1504.798066,4.585246937,0.724039253,0.070536746,0.829844372,0.819018608,181.6876723,243.8247164,30.58004938,7.629370421,0.750511507,1110.36177,940.8156192
2017-01-25,1430.486526,4.718589725,0.792173968,0.05615463,0.872981849,0.81499094,176.8640266,112.7872674,30.36111809,11.11669624,0.633850894,885.0735821,626.2352764
2017-01-26,1504.438408,3.877247324,0.682979566,0.051155811,0.756594025,0.8048631,150.9421988,277.2458238,21.4377415,10.21417709,0.523542296,542.870139,1455.703537
2017-01-27,1265.848731,4.955916866,0.700943886,0.063121404,0.791777127,0.840235995,169.4719567,117.3219417,17.70301839,6.954622738,0.607150454,437.4376838,621.9010068
2017-01-28,1400.315009,5.069541803,0.708930273,0.049252005,0.777860774,0.846561917,193.2163698,247.5030777,23.90591445,7.010522384,0.706745274,760.6498011,1181.166889
2017-01-29,1280.866423,4.293855299,0.716494126,0.059281832,0.797200303,0.814339272,143.9949838,155.4677956,18.19569873,5.250623848,0.711435987,533.0882943,1219.696228
2017-01-30,1204.422784,4.877351826,0.660680721,0.03873555,0.715602882,0.853280447,161.1556657,212.6239233,22.64184916,6.859985245,0.697021864,611.1221076,922.4881729
2017-01-31,1504.634465,4.253323071,0.521619847,0.039110433,0.58127666,0.863335879,177.6355583,197.8655581,17.65787985,3.865926521,0.781065079,667.1869183,1188.95084
2017-02-01,1282.651676,3.428618798,0.595575296,0.031359587,0.640702507,0.813131017,114.9685888,0,20.33349747,7.727974878,0.61993873,519.8287871,0
2017-02-02,1401.387631,3.902351451,0.645557841,0.045619831,0.710259937,0.817991807,143.8216781,0,19.72737499,5.040313075,0.744501583,661.7347533,0
2017-02-03,1580.666034,3.3499818,0.588935305,0.04909229,0.659621117,0.803097104,136.7229331,0,19.54698678,5.157511943,0.73614798,731.2667101,0
2017-02-04,1635.331721,2.906485261,0.639174115,0.05246619,0.717089463,0.753279512,115.1120742,131.6939073,17.13356415,4.617295046,0.730511702,658.0690887,631.356794
2017-02-05,1633.670654,2.565229012,0.543497968,0.035838523,0.596459078,0.767483108,103.4070656,315.6582737,12.33233057,3.723777954,0.698047507,452.152966,994.5847755
2017-02-06,1293.198727,3.552778957,0.491251536,0.041872488,0.553626023,0.844170991,124.6966019,106.9309487,15.41973066,5.326236691,0.654583027,419.6599598,597.846067
2017-02-07,1503.08554,2.607395478,0.431457099,0.045214683,0.49652213,0.809571607,102.0085587,196.803897,14.25093295,5.121886757,0.640592881,441.1637703,911.0662556
2017-02-08,1570.189472,4.926938497,0.521143929,0.025141924,0.55732377,0.886882337,220.5900636,94.07998741,24.41703892,7.603566173,0.688595894,848.7899399,416.9183671
2017-02-09,1610.078671,4.157665255,0.541095795,0.042696856,0.598959066,0.855938603,184.2171115,304.0743333,21.40559107,3.612736052,0.831224653,921.0505682,1040.530688
2017-02-10,1719.668697,5.05727632,0.633287643,0.038802782,0.689125793,0.863735784,241.5088888,232.1010506,24.90705854,5.297864454,0.787294656,1084.164716,1044.719081
2017-02-11,1704.926207,3.363114414,0.722720603,0.040106552,0.778105842,0.768635334,141.6962354,229.1537198,19.46846097,7.549665914,0.61221044,653.3240969,942.1806837
2017-02-12,1725.252779,4.179178815,0.717948734,0.024191877,0.751773917,0.820114441,190.1117181,136.4311182,25.54144823,8.594548473,0.663505828,940.0127283,591.0387765
2017-02-13,1800.678658,3.55544148,0.690221431,0.025992048,0.726115211,0.795773545,163.7985252,270.914077,22.41739254,4.95052782,0.779165761,1011.211295,1106.0173
2017-02-14,1740.08582,3.733256958,0.682927078,0.029302659,0.723392656,0.806230146,168.386908,106.1426778,25.27401832,6.138089204,0.757138373,1070.559869,598.8096764
2017-02-15,1294.364927,4.71824509,0.676569242,0.02613362,0.712658527,0.848956866,166.6915543,209.8371109,22.47656885,4.556137717,0.797293895,745.7545785,1222.778041
2017-02-16,893.6965191,4.29186725,0.717613811,0.049977932,0.789533274,0.81603968,100.6325231,109.0650622,23.02221708,5.583485944,0.757474012,501.0668674,592.4770775
2017-02-17,905.2241163,4.916485292,0.689747023,0.039033952,0.745917832,0.848282302,121.3785665,122.0518006,31.75781919,4.403563631,0.861339231,796.1075703,593.498061
2017-02-18,1060.74306,4.043485423,0.755535894,0.032560839,0.804377152,0.801068369,110.4654337,382.970778,32.28798085,6.57298535,0.79642625,876.9753564,1716.802662
2017-02-19,1119.248355,4.116609922,0.835942756,0.06793887,0.924618705,0.77539317,114.8626656,98.9718154,24.28870303,7.10063756,0.707656784,618.5064063,589.5248459
2017-02-20,1779.59488,3.604510115,0.798524837,0.034485395,0.849542412,0.76431127,157.626197,199.490408,24.87471597,9.119836481,0.633369221,901.4195467,1127.042004
2017-02-21,1541.987365,4.264489539,0.758600655,0.030759027,0.804739195,0.811292961,171.5206108,73.73937097,23.85424332,8.745159634,0.633391866,749.0480541,551.9305698
2017-02-22,1625.95325,3.602356136,0.640849052,0.036997396,0.694089208,0.807323546,152.0313168,95.17382263,21.52188166,6.403515023,0.702464909,790.3212617,564.6001302
2017-02-23,1380.473087,3.990610312,0.781788504,0.046085982,0.848107355,0.787474274,139.4743601,177.0010327,22.49919417,6.480293013,0.711976662,710.9702103,887.4217059
2017-02-24,1769.433328,4.448393616,0.787620976,0.036709327,0.840446593,0.811067395,205.2509109,140.8013284,25.4644923,2.775109886,0.891020412,1290.766294,566.8720597
2017-02-25,1732.534104,3.685915211,0.715458848,0.047070631,0.780461147,0.788258519,161.8402512,250.5629421,22.98647834,6.8776978,0.700793758,897.2948912,451.9947968
2017-02-26,1780.179782,3.422841281,0.84709523,0.043389216,0.905395442,0.735484246,144.0836621,100.3557457,21.18575784,7.429677416,0.649307923,787.3164192,621.356746
2017-02-27,1748.896354,3.58250265,0.688384197,0.043281131,0.748969954,0.790936664,159.3246741,208.0551305,23.67421985,13.70217069,0.421219758,560.7111876,1166.456979
2017-02-28,1817.586483,3.127371395,0.696635509,0.030411793,0.738632747,0.763816748,139.5900487,87.10229364,21.08031719,11.55486363,0.451864812,556.6362514,624.4140123
2017-03-01,1470.740711,3.696032032,0.809917886,0.065166982,0.897493999,0.757173642,132.3299248,0,28.47027886,11.60211039,0.59248343,797.6176988,0
2017-03-02,1725.010846,3.388572936,0.717772793,0.031888427,0.761809192,0.775182885,145.6812239,0,18.75528837,7.319797287,0.609720888,634.2162826,0
2017-03-03,1377.544507,4.326955079,0.696935143,0.046784427,0.761542209,0.824000436,157.9087535,0,29.17506933,11.6040151,0.602262638,778.2053225,0
2017-03-04,1758.11902,4.696215724,0.641611114,0.070451473,0.741507834,0.842105244,223.5390603,245.7920966,29.68739214,10.87906134,0.633546076,1063.137078,1075.765906
2017-03-05,1745.488639,3.694862097,0.654539865,0.084777284,0.771613258,0.791165885,164.048986,187.7006713,22.84636482,14.20495073,0.378240221,484.9451061,1206.620821
2017-03-06,1724.013163,3.113669743,0.776062425,0.056815331,0.854521692,0.725558019,125.2206658,184.2091853,20.26796821,11.11490915,0.451602201,507.3382191,969.2240497
2017-03-07,1765.590515,2.985060589,0.646157286,0.088762388,0.768733917,0.742472927,125.8098076,158.3021827,23.18311908,14.95618984,0.35486723,467.0017277,1245.733705
2017-03-08,1572.902558,4.113300804,0.683803362,0.036926325,0.734796859,0.821360777,170.8507884,48.69298312,32.62529274,13.99750006,0.570961702,942.0066149,631.3805994
2017-03-09,1468.754631,3.213529396,0.631325135,0.05789976,0.711281947,0.778660202,118.1599347,183.8028712,19.43216768,11.29335914,0.418831737,384.3269317,606.5338423
2017-03-10,1719.823084,3.519316331,0.661554183,0.062717538,0.748164116,0.787412087,153.2268571,232.9004013,27.71818406,12.61125438,0.545018737,835.3158453,1249.644099
2017-03-11,1758.063303,3.626582626,0.602593044,0.057959248,0.682632004,0.811769902,166.4009373,144.8667975,23.38648758,11.4372844,0.510944755,675.4048775,627.1528527
2017-03-12,1667.495237,2.991499838,0.491203767,0.048088489,0.559565316,0.812948238,130.3788716,282.774732,17.42384432,8.818899333,0.4938603,461.3212268,1089.662079
2017-03-13,1801.086103,3.323855606,0.63431865,0.051081594,0.705893419,0.787628134,151.5962935,97.03762432,30.63024314,13.24089502,0.567718253,1006.951412,515.5272619
2017-03-14,1738.295589,3.520964886,0.585711032,0.052177205,0.65674456,0.81347597,160.0739968,143.0386926,28.31445056,13.50782877,0.522935162,827.5044718,1028.488464
2017-03-15,1428.183078,5.390933898,0.678788492,0.044253609,0.739900619,0.862750938,213.5620437,121.4692889,38.38107637,16.71316961,0.564546615,994.9278305,608.2915889
2017-03-16,1813.068406,5.592083382,0.709264946,0.056310984,0.787027734,0.859260372,280.093706,260.5966959,40.16494909,13.29607687,0.668963184,1566.225773,1197.014023
2017-03-17,1500.586343,4.436536456,0.798615663,0.081669777,0.911397736,0.794569988,170.0700892,189.6247692,23.20650753,13.11036147,0.435056677,487.0879129,1096.4618
2017-03-18,1457.643317,4.536400969,0.754418672,0.059263853,0.836259232,0.815655795,173.4045003,182.2945971,38.88086313,19.40424406,0.500930728,912.757845,1168.292957
2017-03-19,1853.173009,3.650541973,0.76723694,0.094161404,0.899070126,0.753715987,163.935035,210.3958767,26.43194561,14.15015475,0.464657087,731.759555,1079.352002
2017-03-20,1823.975967,4.397218779,0.74892181,0.085213367,0.868160039,0.802566103,206.9515754,163.6228873,30.75826376,15.53294981,0.494999135,892.845073,1095.162148
2017-03-21,1239.609768,5.119777326,0.787889325,0.044540632,0.848761047,0.834219148,170.2185767,225.0448433,34.88982909,14.39841076,0.587317819,816.6721535,1182.368465
2017-03-22,1625.649955,3.689589518,0.658885052,0.040277788,0.713116748,0.806721928,155.5677922,185.5247723,33.28239182,17.98638004,0.459582709,799.4586096,1062.3582
2017-03-23,1420.659009,4.735366341,0.69931737,0.040668466,0.759511492,0.839608715,181.5980198,325.3338466,24.35001664,9.136839275,0.624770717,694.8651271,1733.975216
2017-03-24,1914.837362,3.904465953,0.736163839,0.059971888,0.826454348,0.788331014,189.4928745,198.4523889,25.82518255,13.36081925,0.482643764,767.348644,1143.454257
2017-03-25,1488.749363,2.802786677,0.69254392,0.055637912,0.769809345,0.725341443,97.30717465,124.7396104,26.39095771,12.80328574,0.51486089,650.3653281,560.2947616
2017-03-26,1661.782035,4.002407097,0.747040599,0.035221057,0.79772456,0.800688801,171.2181545,224.3215694,30.20881018,11.89705747,0.60617259,978.3510435,1020.630281
2017-03-27,1614.262936,4.198954178,0.576274979,0.036311893,0.626419975,0.850815239,185.4135243,180.435409,29.27518233,10.02289375,0.657631723,999.1883839,496.4301694
2017-03-28,1521.905672,3.264369076,0.545493816,0.028743405,0.585187089,0.82073501,131.0933581,189.0207917,45.59873238,33.46378418,0.266124683,593.7674697,975.878307
2017-03-29,1592.478803,4.241584436,0.715770421,0.04004071,0.771064735,0.818213041,177.6883328,182.5565045,31.38132323,16.96856053,0.459278361,737.9239986,1097.115358
2017-03-30,1318.173248,4.39343126,0.719320907,0.054576412,0.794688334,0.819118979,152.5155257,121.1203558,32.56048375,11.42057391,0.649250484,895.914081,620.2353337
2017-03-31,1606.586514,4.235663659,0.67552423,0.060119623,0.758546567,0.820914353,179.6032417,203.4191571,34.33186073,11.94290741,0.652133407,1156.454755,994.0798339
2017-04-01,1745.05008,4.547016987,0.70778266,0.054743523,0.784522347,0.827464391,211.0933359,0,20.15562447,5.386302678,0.732764287,828.6272017,0
2017-04-02,1727.097966,3.843577259,0.694113587,0.051108184,0.76370669,0.801303151,171.0173516,0,15.36559898,4.614286492,0.699700188,596.9929407,0
2017-04-03,912.2227682,4.906397557,0.582916156,0.073509561,0.684429359,0.86050267,123.8245058,186.3035954,16.72991164,6.115507835,0.634456657,311.3058282,1063.740868
2017-04-04,581.946967,4.442865224,0.675660143,0.039410614,0.730084324,0.835672637,69.46618816,188.4891242,28.446832,4.729791304,0.833732231,443.746199,1056.421785
2017-04-05,924.887692,5.409600243,0.795820455,0.036400063,0.848201033,0.843204489,135.6368893,216.5834506,31.69313397,4.127790839,0.869757568,819.6777399,1154.337579
2017-04-06,1566.697718,5.03419859,0.829527157,0.036919972,0.882655898,0.824668042,209.1151304,190.0297186,23.95371401,7.405146006,0.69085604,833.5590437,1009.643501
2017-04-07,1743.20832,2.89994798,0.766312824,0.034940771,0.816593445,0.718411002,116.762453,100.9679353,18.66987518,6.100887888,0.673222888,704.4340095,603.8982118
2017-04-08,1811.654266,2.944072255,0.67813891,0.035392464,0.729819856,0.752105318,128.9713314,115.0495503,20.92331594,10.49774782,0.498275137,607.2475755,623.3085346
2017-04-09,1700.641256,2.818269335,0.647507757,0.046853522,0.71242694,0.747211194,115.1408188,277.0767829,17.3378913,6.811851629,0.607111874,575.5306421,1063.167028
2017-04-10,1305.275186,3.510617803,0.581633885,0.040796807,0.639588244,0.817813194,120.484307,123.255065,20.19813546,5.524581272,0.726480631,615.7836315,535.3596912
2017-04-11,1649.361592,2.902116818,0.569489312,0.046195441,0.637883667,0.780200555,120.0681336,197.9698612,21.42190509,8.478701699,0.604204124,686.3543506,981.1052844
2017-04-12,1903,3.01,0.56,0.03,0.6,0.7994,147.2469369,86,0,0,0,0,0
2017-04-13,1802.441311,2.724277232,0.523047441,0.035639126,0.572384478,0.789894923,124.7017344,275.862344,15.99197361,7.311855215,0.542779685,503.0110429,1101.436149
2017-04-14,1523.697674,2.875065992,0.556222173,0.024585622,0.590352185,0.794664823,111.923517,203.955564,19.1364072,7.77734599,0.593583795,556.457477,1044.425256
2017-04-15,1906.258155,2.154419471,0.479286808,0.025493105,0.514491572,0.76119248,100.5072076,225.1239499,14.15462488,5.839804928,0.587427786,509.595169,977.7831839
2017-04-16,1800.666617,2.378930112,0.555672174,0.035184427,0.604260192,0.745994979,102.7404916,112.6937775,15.20735105,4.430014772,0.708692542,623.9294501,555.577324
2017-04-17,1822.766777,2.835972488,0.501119882,0.035393227,0.549996244,0.806064323,133.9656807,90.56745269,16.48282535,5.66605212,0.656245091,633.8982709,461.8098415
2017-04-18,1737.851887,2.743456251,0.507976584,0.030273479,0.549782817,0.79960212,122.5675412,192.7462979,16.16167353,5.046667937,0.68773853,621.0308629,786.8115732
2017-04-19,1659.721836,3.078003815,0.60378618,0.042196516,0.660613726,0.785375924,128.9949722,69.85932364,17.14863882,4.612971906,0.731000696,668.9189357,381.9163899
2017-04-20,1715.173558,3.648031364,0.468617718,0.022578784,0.498547734,0.863337871,173.6753434,198.9755933,24.87847511,6.092457803,0.755111285,1035.93744,1063.125934
2017-04-21,1835.1875,3.677498559,0.617330605,0.033654156,0.663805393,0.819495404,177.8157451,110.7772219,20.08304009,6.583015338,0.672210218,796.5366169,557.4605237
2017-04-22,1806.12667,3.645119659,0.624608042,0.034607319,0.67048286,0.816060123,172.7320352,138.6021816,22.83324675,6.594684676,0.711180598,942.945329,1016.012967
2017-04-23,1787.106213,3.166375947,0.672468077,0.031473007,0.715930802,0.773895831,140.794629,168.6210645,20.2647125,5.874048072,0.710134152,826.840896,944.7822012
2017-04-24,1979.095458,2.5721128,0.734478647,0.021857298,0.763835871,0.703031737,115.0594839,96.7769564,16.26513728,6.058822964,0.627496352,649.421136,426.2654045
2017-04-25,1888.546928,2.279855683,0.519617819,0.019295786,0.545562814,0.760702917,105.3030517,131.0157418,15.06963228,6.568983927,0.564091293,516.1436281,560.1716522
2017-04-26,1523.886613,2.296536698,0.483289582,0.0215847,0.514350491,0.776032105,87.31653037,207.2983608,14.66369139,5.310992093,0.63781343,458.2266706,1165.543762
2017-04-27,1842.844009,2.406426333,0.484364658,0.020102946,0.512125869,0.787184065,112.2349658,61.27285312,17.66706155,6.583168568,0.627376146,656.7069871,378.511021
2017-04-28,1374,3.776838428,0.527459971,0.026503596,0.563421468,0.85082193,141.9529925,0,23.87666921,6.041902528,0.746953711,787.852474,0
2017-04-29,1718.315404,5.109979594,0.516312156,0.028962394,0.556914539,0.891014332,251.5344517,172.1653331,30.91503979,6.499998989,0.789746381,1348.810928,920.1394733
2017-04-30,1801.830375,4.580267237,0.599828812,0.025599389,0.636666958,0.860997858,228.4533499,150.3721446,21.06636925,4.938560185,0.765571365,934.2863748,815.0143874
2017-05-01,1763.434087,3.506206499,0.722021751,0.028907824,0.763620815,0.78220883,155.4927607,0,17.89810852,8.305258797,0.535970028,543.8731391,0
2017-05-02,1819.87124,3.131669481,0.704932396,0.032094666,0.751117403,0.760154318,139.2865196,0,14.9842442,7.951755746,0.469325537,411.4721329,0
2017-05-03,1843.79931,3.013626861,0.649476192,0.028618524,0.688997011,0.77137282,137.802849,168.0398851,17.59662303,7.550678189,0.570901861,595.5183874,1254.617675
2017-05-04,1809.13371,3.064154584,0.530275887,0.036832102,0.581139266,0.810342706,144.4244768,123.6120283,18.24510397,5.799470269,0.682135532,723.8997368,541.0096456
2017-05-05,1849.622893,3.119287688,0.546043715,0.02175528,0.575281809,0.815572699,151.2836663,163.2278935,19.01208505,6.990986935,0.632287205,714.8551862,921.0817017
2017-05-06,1524.237255,3.409237748,0.466891675,0.030469544,0.508375054,0.850883074,142.1577311,220.1721636,18.4131645,6.103377032,0.668531879,603.2451867,923.2168175
2017-05-07,1459.430237,3.611920544,0.462253743,0.039887301,0.517336207,0.856769771,145.2032715,182.8377366,22.84210825,8.56426898,0.625066614,669.9410149,1116.162649
2017-05-08,1709.853837,3.718744211,0.550085274,0.022534723,0.581204653,0.84370943,172.4800763,95.77227975,19.72751172,4.507214958,0.771526434,836.7059276,472.116038
2017-05-09,1148.340037,4.386256103,0.600357487,0.035816747,0.65189866,0.851376973,137.8723348,253.8028999,27.9955,7.958109756,0.715736109,739.7796858,1091.247683
2017-05-10,1659.669809,3.580228617,0.561389277,0.022689499,0.592722396,0.834445657,159.4120881,229.9480275,18.79663236,4.928995848,0.737772397,739.9713103,1063.347604
2017-05-11,1701.216541,3.189135896,0.613811289,0.031088004,0.657378686,0.79386934,138.4753241,123.2036893,19.51930508,7.456364238,0.618000528,659.786664,567.5924662
2017-05-12,1594.924865,3.196661769,0.6578869,0.032320661,0.703136622,0.780040344,127.8629498,126.2055354,19.75308954,6.362581919,0.677894341,686.6382739,610.3212455
2017-05-13,1663.36013,5.074745704,0.698716078,0.039656212,0.753479419,0.851523709,231.0936727,270.764029,31.23576321,6.478677903,0.792587815,1323.965104,1139.048244
2017-05-14,1368.764817,4.084351853,0.533920368,0.03164564,0.580220679,0.857940574,154.2055224,244.6337765,24.47742779,4.701655552,0.807918724,870.2680171,882.5071058
2017-05-15,1619.566583,3.66330953,0.613138237,0.037025018,0.663474273,0.818886647,156.2021295,125.485203,21.22794886,6.147127732,0.710422906,785.2619137,617.2145862
2017-05-16,1828.292386,3.285403928,0.668271507,0.021217083,0.697571289,0.787675639,152.1151868,115.2141398,21.76539159,7.354050692,0.662121829,847.1118954,579.9684354
2017-05-17,1245.76472,3.276007682,0.598012979,0.032850649,0.643727909,0.80350232,105.4286905,143.5237321,23.285156,7.344915842,0.684566604,638.4422594,825.4770051
2017-05-18,835.6114503,4.60250677,0.53065769,0.019193312,0.557162739,0.878943635,108.6802383,94.61990806,26.78891248,9.202558281,0.65647884,472.4664086,613.5359754
2017-05-19,1732.45348,4.439752184,0.523335177,0.026898118,0.562683752,0.873262352,215.9512819,181.6688786,21.59341123,3.475093556,0.839066949,1009.183613,853.3091912
2017-05-20,1720.430202,3.852487662,0.536457564,0.044459385,0.600435704,0.844143381,179.8809912,93.25560105,22.16336587,7.501486108,0.661536693,810.9936426,509.6063642
2017-05-21,1855.35583,3.923551978,0.63665525,0.030908603,0.681133483,0.826398762,193.4136048,161.5167523,21.54780312,9.303401208,0.568243632,730.3911929,970.0214313
2017-05-22,1973.26834,4.170496676,0.652447172,0.022565778,0.68410709,0.83596508,221.1835386,215.3611074,23.97647901,5.048173519,0.789453092,1200.849614,1201.846696
