Date,Mine Tonnage_tons,Mine Grade_Au gpt
01-Jan-17,910.000,2.890
02-Jan-17,974.000,4.090
03-Jan-17,1510.000,5.470
04-Jan-17,1417.000,8.280
05-Jan-17,1171.000,5.250
06-Jan-17,1464.500,5.650
07-Jan-17,1391.000,4.650
08-Jan-17,1110.000,4.000
09-Jan-17,1154.000,5.760
10-Jan-17,1246.000,5.110
11-Jan-17,1282.000,4.030
12-Jan-17,1457.000,4.080
13-Jan-17,1834.000,5.370
14-Jan-17,1471.500,4.760
15-Jan-17,1618.500,4.680
16-Jan-17,1698.500,6.900
17-Jan-17,1767.500,8.800
18-Jan-17,1796.500,6.540
19-Jan-17,1693.000,8.220
20-Jan-17,1693.000,8.220
21-Jan-17,1979.000,4.900
22-Jan-17,1025.500,5.160
23-Jan-17,1132.500,5.800
24-Jan-17,1253.500,6.150
25-Jan-17,1608.000,3.760
26-Jan-17,1649.000,5.200
27-Jan-17,2034.000,7.310
28-Jan-17,987.000,6.010
29-Jan-17,1687.000,4.520
30-Jan-17,1738.000,5.930
31-Jan-17,1512.000,6.010
01-Feb-17,1880.000,5.260
02-Feb-17,1692.500,7.150
03-Feb-17,1671.100,4.430
04-Feb-17,1670.500,4.150
05-Feb-17,1246.500,3.380
06-Feb-17,1304.000,3.840
07-Feb-17,1240.000,5.650
08-Feb-17,1355.500,5.240
09-Feb-17,1393.000,4.600
10-Feb-17,969.500,4.270
11-Feb-17,1229.500,8.010
12-Feb-17,1052.000,5.630
13-Feb-17,1347.000,4.300
14-Feb-17,1190.000,9.460
15-Feb-17,1168.500,4.910
16-Feb-17,821.500,7.260
17-Feb-17,1038.500,3.750
18-Feb-17,1100.000,5.720
19-Feb-17,754.000,4.040
20-Feb-17,1234.500,5.720
21-Feb-17,1716.500,5.920
22-Feb-17,1587.500,5.230
23-Feb-17,1309.500,9.550
24-Feb-17,1322.000,5.670
25-Feb-17,1253.500,2.940
26-Feb-17,1070.000,6.090
27-Feb-17,1456.000,7.690
28-Feb-17,1347.500,8.230
