Target,Model,R-squared,MAE,MSE,RMSE,Tuning Status
Gold Ounces Produced,Artificial Neural Network,0.985105649,5.891043168,80.22467612,8.956822881,Tuned
Gold Ounces Produced,Artificial Neural Network,0.98324561,6.296616615,90.24330727,9.499647745,Untuned
Gold Ounces Produced,CatBoost,0.982606713,6.30857017,93.68456732,9.679078846,Tuned
Gold Ounces Produced,CatBoost,0.981678507,6.483456375,98.68411322,9.933987781,Untuned
Gold Ounces Produced,XGBoost Regressor,0.979940109,6.827270316,108.0475589,10.39459277,Untuned
Gold Ounces Produced,XGBoost Regressor,0.979476292,6.845796879,110.5457914,10.51407587,Tuned
Gold Ounces Produced,LightGBM,0.97938753,6.750192805,111.0238838,10.53678717,Tuned
Gold Ounces Produced,LightGBM,0.978392875,6.885834964,116.3813454,10.7880186,Untuned
Gold Ounces Produced,Decision Tree Regressor,0.96686001,8.989017089,178.5002229,13.36039756,Tuned
Gold Ounces Produced,Decision Tree Regressor,0.966048363,9.593522663,182.8719562,13.52301579,Untuned
Gold Ounces Produced,Support Vector Machine,0.905984302,8.903400862,506.391915,22.50315345,Tuned
Gold Ounces Produced,Linear Regression,0.90385924,12.75023572,517.8380247,22.75605468,Tuned
Gold Ounces Produced,Linear Regression,0.90385924,12.75023572,517.8380247,22.75605468,Untuned
Gold Ounces Produced,Support Vector Machine,0.759112713,15.03507087,1297.478795,36.02053297,Untuned
Gold Recovery,CatBoost,0.719754633,0.024485653,0.002219006,0.04710633,Untuned
Gold Recovery,XGBoost Regressor,0.7181277,0.025031584,0.002231889,0.047242868,Tuned
Gold Recovery,CatBoost,0.717254696,0.024780219,0.002238801,0.04731597,Tuned
Gold Recovery,Support Vector Machine,0.716975035,0.025093501,0.002241015,0.047339365,Tuned
Gold Recovery,XGBoost Regressor,0.715849996,0.024875848,0.002249924,0.047433359,Untuned
Gold Recovery,Decision Tree Regressor,0.71227559,0.025618277,0.002278226,0.047730766,Tuned
Gold Recovery,LightGBM,0.711522629,0.025400307,0.002284188,0.04779318,Tuned
Gold Recovery,Artificial Neural Network,0.706767719,0.025177833,0.002321838,0.048185452,Tuned
Gold Recovery,Artificial Neural Network,0.692182274,0.025766111,0.002437327,0.049369288,Untuned
Gold Recovery,LightGBM,0.687548495,0.026812744,0.002474017,0.049739494,Untuned
Gold Recovery,Decision Tree Regressor,0.609603793,0.034698083,0.00309119,0.055598471,Untuned
Gold Recovery,Support Vector Machine,0.581482647,0.04246143,0.003313856,0.057566097,Untuned
Gold Recovery,Linear Regression,0.256950716,0.034593708,0.005883527,0.07670415,Tuned
Gold Recovery,Linear Regression,0.256950716,0.034593708,0.005883527,0.07670415,Untuned
Mine Tonnage,CatBoost,0.218946555,469.5554806,353071.9989,594.1986191,Tuned
Mine Tonnage,Artificial Neural Network,0.213677428,471.098361,355453.8864,596.1995357,Untuned
Mine Tonnage,Artificial Neural Network,0.212585353,470.9127935,355947.5545,596.6134046,Tuned
